Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,28.139999,28.299999,27.860001,28.290001,28.270426,38460600
2019-04-03,28.530001,28.559999,27.540001,27.540001,27.520945,55120900
2019-04-04,27.770000,28.469999,27.370001,28.469999,28.450300,52248100
2019-04-05,28.540001,28.889999,28.209999,28.780001,28.760086,54708900
2019-04-08,29.059999,29.389999,28.980000,29.250000,29.229761,55270000
2019-04-09,29.030001,29.240000,28.670000,29.160000,29.139822,43863700
2019-04-10,29.549999,29.570000,28.780001,28.780001,28.760086,62005200
2019-04-11,28.700001,28.700001,27.870001,28.000000,27.980625,56126400
2019-04-12,26.469999,26.969999,25.570000,25.830000,25.812126,227307600
2019-04-15,26.350000,26.580000,25.549999,25.930000,25.912058,117567200
2019-04-16,25.950001,27.059999,25.629999,26.719999,26.701509,95149300
2019-04-17,27.120001,27.340000,26.219999,26.750000,26.731491,103988400
2019-04-18,27.360001,27.889999,27.250000,27.600000,27.580902,100942100
2019-04-22,27.690001,27.889999,27.320000,27.440001,27.421013,45321900
2019-04-23,27.719999,28.000000,27.680000,27.680000,27.660847,52199500
2019-04-24,27.719999,27.889999,27.209999,27.600000,27.580902,57704700
2019-04-25,27.450001,28.070000,27.430000,27.799999,27.780764,55201700
2019-04-26,27.680000,27.770000,27.059999,27.250000,27.250000,52616600
2019-04-29,27.549999,27.620001,27.340000,27.370001,27.370001,27689800
2019-04-30,27.520000,27.660000,26.980000,27.110001,27.110001,39570700
2019-05-02,26.799999,26.820000,26.520000,26.730000,26.730000,37820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,26.850000,33334800
